"type","genotype","N","mean","sd","se","gene"
"2","Ambr","tf2",4,34.023653625635,12.7176927229652,6.35884636148258,"Solyc00g009100"
"3","Ambr","wt",3,39.9939079311952,14.6979622445528,8.48587245843153,"Solyc00g009100"
"4","Aother","tf2",4,39.3101108247011,17.2914693922853,8.64573469614267,"Solyc00g009100"
"5","Aother","wt",5,30.7247619083716,7.40467210646765,3.31147003623164,"Solyc00g009100"
"6","Bmbr","tf2",3,27.8908323818214,15.9364612461199,9.20092019037735,"Solyc00g009100"
"7","Bmbr","wt",4,36.283554337302,5.31869573598534,2.65934786799267,"Solyc00g009100"
"8","Bother","tf2",4,33.4882963774406,8.01019431707265,4.00509715853632,"Solyc00g009100"
"9","Bother","wt",4,15.3293495465733,6.94534685083244,3.47267342541622,"Solyc00g009100"
"10","Cmbr","tf2",4,17.9753029577337,10.8005763842997,5.40028819214984,"Solyc00g009100"
"11","Cmbr","wt",6,28.3058223644608,12.0240562218463,4.90880039701011,"Solyc00g009100"
"12","Cother","tf2",4,29.3437937767261,14.6249618781534,7.31248093907669,"Solyc00g009100"
"13","Cother","wt",3,35.3883828765759,16.8790981377726,9.7451518535211,"Solyc00g009100"
"14","Ambr","tf2",4,67.4534322886608,17.0282820890928,8.51414104454641,"Solyc00g024150"
"15","Ambr","wt",3,48.9183962861277,22.613413879143,13.0558605904196,"Solyc00g024150"
"16","Aother","tf2",4,49.18007722781,23.2427691299376,11.6213845649688,"Solyc00g024150"
"17","Aother","wt",5,42.9807873448527,11.4367185119189,5.11465600643619,"Solyc00g024150"
"18","Bmbr","tf2",3,29.3109381469055,16.5295541369493,9.54334253055216,"Solyc00g024150"
"19","Bmbr","wt",4,31.1422246224774,12.4814503887079,6.24072519435394,"Solyc00g024150"
"20","Bother","tf2",4,61.4391806897169,6.66293035109685,3.33146517554843,"Solyc00g024150"
"21","Bother","wt",4,37.2189121270966,12.6786316709315,6.33931583546573,"Solyc00g024150"
"22","Cmbr","tf2",4,37.0189827745812,17.7825300374992,8.89126501874959,"Solyc00g024150"
"23","Cmbr","wt",6,20.4244354657115,12.1150141285534,4.94593380692748,"Solyc00g024150"
"24","Cother","tf2",4,47.0214463793788,10.6466262382366,5.32331311911828,"Solyc00g024150"
"25","Cother","wt",3,34.2934970213176,15.1763352513511,8.76206124267955,"Solyc00g024150"
"26","Ambr","tf2",4,2.3926129835467,2.1734718338828,1.0867359169414,"Solyc01g005450"
"27","Ambr","wt",3,1.58336473609631,0.972731462847284,0.561606771924098,"Solyc01g005450"
"28","Aother","tf2",4,1.33011992861995,0.925829028011487,0.462914514005743,"Solyc01g005450"
"29","Aother","wt",5,3.78789656448393,3.40241260182508,1.52160517303656,"Solyc01g005450"
"30","Bmbr","tf2",3,25.2742331433468,40.3283627331585,23.2835910799659,"Solyc01g005450"
"31","Bmbr","wt",4,1.88542721319211,1.84056592800578,0.920282964002891,"Solyc01g005450"
"32","Bother","tf2",4,3.08877802012305,2.13909451698256,1.06954725849128,"Solyc01g005450"
"33","Bother","wt",4,4.11236155126739,5.46791306723471,2.73395653361736,"Solyc01g005450"
"34","Cmbr","tf2",4,1.23732348477771,1.46875422558452,0.734377112792259,"Solyc01g005450"
"35","Cmbr","wt",6,2.02577843116837,2.40458419989348,0.981667388882929,"Solyc01g005450"
"36","Cother","tf2",4,3.52624365939104,1.69151645023959,0.845758225119794,"Solyc01g005450"
"37","Cother","wt",3,9.91639006872514,9.67104650747747,5.58358130443751,"Solyc01g005450"
"38","Ambr","tf2",4,26.5346061313596,13.3882059020018,6.69410295100091,"Solyc01g005520"
"39","Ambr","wt",3,18.8290770144711,3.40958637433053,1.96852561104501,"Solyc01g005520"
"40","Aother","tf2",4,27.0002015654949,20.8843743623156,10.4421871811578,"Solyc01g005520"
"41","Aother","wt",5,25.7495857639923,2.4100724102873,1.07781714801983,"Solyc01g005520"
"42","Bmbr","tf2",3,18.2879978438952,14.1372524073512,8.16214648298591,"Solyc01g005520"
"43","Bmbr","wt",4,19.8119816890404,8.79014552682548,4.39507276341274,"Solyc01g005520"
"44","Bother","tf2",4,33.6500447942834,5.49406938092581,2.7470346904629,"Solyc01g005520"
"45","Bother","wt",4,20.3494255281686,8.24612271427354,4.12306135713677,"Solyc01g005520"
"46","Cmbr","tf2",4,23.5313515717489,22.4821783327277,11.2410891663638,"Solyc01g005520"
"47","Cmbr","wt",6,13.6126109853028,7.26607432548058,2.96636242176081,"Solyc01g005520"
"48","Cother","tf2",4,35.0719504310879,14.5503533733303,7.27517668666516,"Solyc01g005520"
"49","Cother","wt",3,21.0103122873347,19.9717042030285,11.5306687977941,"Solyc01g005520"
"50","Ambr","tf2",4,34.023653625635,12.7176927229652,6.35884636148258,"Solyc00g009100"
"51","Ambr","wt",3,39.9939079311952,14.6979622445528,8.48587245843153,"Solyc00g009100"
"52","Aother","tf2",4,39.3101108247011,17.2914693922853,8.64573469614267,"Solyc00g009100"
"53","Aother","wt",5,30.7247619083716,7.40467210646765,3.31147003623164,"Solyc00g009100"
"54","Bmbr","tf2",3,27.8908323818214,15.9364612461199,9.20092019037735,"Solyc00g009100"
"55","Bmbr","wt",4,36.283554337302,5.31869573598534,2.65934786799267,"Solyc00g009100"
"56","Bother","tf2",4,33.4882963774406,8.01019431707265,4.00509715853632,"Solyc00g009100"
"57","Bother","wt",4,15.3293495465733,6.94534685083244,3.47267342541622,"Solyc00g009100"
"58","Cmbr","tf2",4,17.9753029577337,10.8005763842997,5.40028819214984,"Solyc00g009100"
"59","Cmbr","wt",6,28.3058223644608,12.0240562218463,4.90880039701011,"Solyc00g009100"
"60","Cother","tf2",4,29.3437937767261,14.6249618781534,7.31248093907669,"Solyc00g009100"
"61","Cother","wt",3,35.3883828765759,16.8790981377726,9.7451518535211,"Solyc00g009100"
"62","Ambr","tf2",4,67.4534322886608,17.0282820890928,8.51414104454641,"Solyc00g024150"
"63","Ambr","wt",3,48.9183962861277,22.613413879143,13.0558605904196,"Solyc00g024150"
"64","Aother","tf2",4,49.18007722781,23.2427691299376,11.6213845649688,"Solyc00g024150"
"65","Aother","wt",5,42.9807873448527,11.4367185119189,5.11465600643619,"Solyc00g024150"
"66","Bmbr","tf2",3,29.3109381469055,16.5295541369493,9.54334253055216,"Solyc00g024150"
"67","Bmbr","wt",4,31.1422246224774,12.4814503887079,6.24072519435394,"Solyc00g024150"
"68","Bother","tf2",4,61.4391806897169,6.66293035109685,3.33146517554843,"Solyc00g024150"
"69","Bother","wt",4,37.2189121270966,12.6786316709315,6.33931583546573,"Solyc00g024150"
"70","Cmbr","tf2",4,37.0189827745812,17.7825300374992,8.89126501874959,"Solyc00g024150"
"71","Cmbr","wt",6,20.4244354657115,12.1150141285534,4.94593380692748,"Solyc00g024150"
"72","Cother","tf2",4,47.0214463793788,10.6466262382366,5.32331311911828,"Solyc00g024150"
"73","Cother","wt",3,34.2934970213176,15.1763352513511,8.76206124267955,"Solyc00g024150"
"74","Ambr","tf2",4,2.3926129835467,2.1734718338828,1.0867359169414,"Solyc01g005450"
"75","Ambr","wt",3,1.58336473609631,0.972731462847284,0.561606771924098,"Solyc01g005450"
"76","Aother","tf2",4,1.33011992861995,0.925829028011487,0.462914514005743,"Solyc01g005450"
"77","Aother","wt",5,3.78789656448393,3.40241260182508,1.52160517303656,"Solyc01g005450"
"78","Bmbr","tf2",3,25.2742331433468,40.3283627331585,23.2835910799659,"Solyc01g005450"
"79","Bmbr","wt",4,1.88542721319211,1.84056592800578,0.920282964002891,"Solyc01g005450"
"80","Bother","tf2",4,3.08877802012305,2.13909451698256,1.06954725849128,"Solyc01g005450"
"81","Bother","wt",4,4.11236155126739,5.46791306723471,2.73395653361736,"Solyc01g005450"
"82","Cmbr","tf2",4,1.23732348477771,1.46875422558452,0.734377112792259,"Solyc01g005450"
"83","Cmbr","wt",6,2.02577843116837,2.40458419989348,0.981667388882929,"Solyc01g005450"
"84","Cother","tf2",4,3.52624365939104,1.69151645023959,0.845758225119794,"Solyc01g005450"
"85","Cother","wt",3,9.91639006872514,9.67104650747747,5.58358130443751,"Solyc01g005450"
"86","Ambr","tf2",4,26.5346061313596,13.3882059020018,6.69410295100091,"Solyc01g005520"
"87","Ambr","wt",3,18.8290770144711,3.40958637433053,1.96852561104501,"Solyc01g005520"
"88","Aother","tf2",4,27.0002015654949,20.8843743623156,10.4421871811578,"Solyc01g005520"
"89","Aother","wt",5,25.7495857639923,2.4100724102873,1.07781714801983,"Solyc01g005520"
"90","Bmbr","tf2",3,18.2879978438952,14.1372524073512,8.16214648298591,"Solyc01g005520"
"91","Bmbr","wt",4,19.8119816890404,8.79014552682548,4.39507276341274,"Solyc01g005520"
"92","Bother","tf2",4,33.6500447942834,5.49406938092581,2.7470346904629,"Solyc01g005520"
"93","Bother","wt",4,20.3494255281686,8.24612271427354,4.12306135713677,"Solyc01g005520"
"94","Cmbr","tf2",4,23.5313515717489,22.4821783327277,11.2410891663638,"Solyc01g005520"
"95","Cmbr","wt",6,13.6126109853028,7.26607432548058,2.96636242176081,"Solyc01g005520"
"96","Cother","tf2",4,35.0719504310879,14.5503533733303,7.27517668666516,"Solyc01g005520"
"97","Cother","wt",3,21.0103122873347,19.9717042030285,11.5306687977941,"Solyc01g005520"
"98","Ambr","tf2",4,34.023653625635,12.7176927229652,6.35884636148258,"Solyc00g009100"
"99","Ambr","wt",3,39.9939079311952,14.6979622445528,8.48587245843153,"Solyc00g009100"
"100","Aother","tf2",4,39.3101108247011,17.2914693922853,8.64573469614267,"Solyc00g009100"
"101","Aother","wt",5,30.7247619083716,7.40467210646765,3.31147003623164,"Solyc00g009100"
"102","Bmbr","tf2",3,27.8908323818214,15.9364612461199,9.20092019037735,"Solyc00g009100"
"103","Bmbr","wt",4,36.283554337302,5.31869573598534,2.65934786799267,"Solyc00g009100"
